/home/aditya/behavior cloning training/Audrica-dataset/IMG/center_2018_12_03_11_08_46_953.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/left_2018_12_03_11_08_46_953.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/right_2018_12_03_11_08_46_953.jpg, 0, 0, 0, 7.796365E-05
/home/aditya/behavior cloning training/Audrica-dataset/IMG/center_2018_12_03_11_08_47_130.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/left_2018_12_03_11_08_47_130.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/right_2018_12_03_11_08_47_130.jpg, 0, 0, 0, 7.804156E-05
/home/aditya/behavior cloning training/Audrica-dataset/IMG/center_2018_12_03_11_08_47_235.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/left_2018_12_03_11_08_47_235.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/right_2018_12_03_11_08_47_235.jpg, 0, 0, 0, 7.92476E-05
/home/aditya/behavior cloning training/Audrica-dataset/IMG/center_2018_12_03_11_08_47_401.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/left_2018_12_03_11_08_47_401.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/right_2018_12_03_11_08_47_401.jpg, 0, 0, 0, 7.906005E-05
/home/aditya/behavior cloning training/Audrica-dataset/IMG/center_2018_12_03_11_08_47_574.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/left_2018_12_03_11_08_47_574.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/right_2018_12_03_11_08_47_574.jpg, 0, 0, 0, 8.034206E-05
/home/aditya/behavior cloning training/Audrica-dataset/IMG/center_2018_12_03_11_08_47_746.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/left_2018_12_03_11_08_47_746.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/right_2018_12_03_11_08_47_746.jpg, 0, 0, 0, 7.828575E-05
/home/aditya/behavior cloning training/Audrica-dataset/IMG/center_2018_12_03_11_08_47_914.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/left_2018_12_03_11_08_47_914.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/right_2018_12_03_11_08_47_914.jpg, 0, 0, 0, 7.896926E-05
/home/aditya/behavior cloning training/Audrica-dataset/IMG/center_2018_12_03_11_08_48_092.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/left_2018_12_03_11_08_48_092.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/right_2018_12_03_11_08_48_092.jpg, 0, 0, 0, 7.909601E-05
/home/aditya/behavior cloning training/Audrica-dataset/IMG/center_2018_12_03_11_08_48_198.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/left_2018_12_03_11_08_48_198.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/right_2018_12_03_11_08_48_198.jpg, 0, 0.3249722, 0, 0.3749391
/home/aditya/behavior cloning training/Audrica-dataset/IMG/center_2018_12_03_11_08_48_358.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/left_2018_12_03_11_08_48_358.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/right_2018_12_03_11_08_48_358.jpg, -0.4733248, 0.7982969, 0, 1.668831
/home/aditya/behavior cloning training/Audrica-dataset/IMG/center_2018_12_03_11_08_48_462.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/left_2018_12_03_11_08_48_462.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/right_2018_12_03_11_08_48_462.jpg, -0.7936556, 1, 0, 3.001089
/home/aditya/behavior cloning training/Audrica-dataset/IMG/center_2018_12_03_11_08_48_623.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/left_2018_12_03_11_08_48_623.jpg, /home/aditya/behavior cloning training/Audrica-dataset/IMG/right_2018_12_03_11_08_48_623.jpg, -0.3148942, 1, 0, 4.868946
